Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State,Zip,country,Category,instSize,instType
position22,0,0,0,0,0,42000,Man,FALSE,Hispanic,6,6,61,FALSE,FALSE,No College Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position22,0,0,0,0,0,40500,Man,FALSE,Hispanic,4,4,45,FALSE,FALSE,No College Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position10,0,0,0,0,0,59000,Woman,FALSE,Caucasian,3,3,60,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position10,0,0,0,0,0,58000,Woman,FALSE,Hispanic,3,3,45,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position10,0,0,0,10,0,43000,Woman,FALSE,Asian American,2,2,25,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position10,0,0,0,0,0,41500,Man,FALSE,Asian American,1,1,25,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position20,1,0,0,20,15,63000,Man,FALSE,Caucasian,15,20,52,FALSE,FALSE,Master's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position20,0,0,0,20,15,47000,Man,FALSE,Caucasian,1,5,39,FALSE,FALSE,Master's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position23,1,1,0,0,0,67000,Woman,FALSE,Caucasian,4,12,38,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,1,6,0,0,0,72500,Woman,FALSE,Caucasian,2,8,37,FALSE,FALSE,Master's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,10,0,55000,Man,FALSE,Caucasian,3,5,28,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,2,0,46000,Woman,FALSE,Caucasian,2,2,31,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,0,0,43500,Man,FALSE,Caucasian,1,1,33,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,0,0,57000,Man,FALSE,Caucasian,1,1,29,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,0,0,57000,Man,FALSE,Asian American,1,1,29,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,0,0,60500,Man,FALSE,Asian American,1,1,54,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position5,0,0,0,0,0,41500,Woman,FALSE,Asian American,1,1,32,FALSE,FALSE,Bachelor's Degree,43,13,0,600,80,NA,Davis,CA,95616-8691,United States,one,32354,Public Institution
position1,7,2,3,85,10,65000,Man,FALSE,Caucasian,21,35,65,FALSE,FALSE,Master's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position3,0,0,1,25,10,44000,Woman,FALSE,Hispanic,14,14,53,FALSE,FALSE,Master's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position6,0,0,0,5,0,32000,Woman,FALSE,Biracial,7,7,33,FALSE,FALSE,Bachelor's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position15,0,5,0,15,0,30000,Man,FALSE,African American,2,2,26,FALSE,FALSE,Bachelor's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position4,0,0,1,10,0,30000,Woman,FALSE,Biracial,1,1,23,FALSE,FALSE,Bachelor's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position9,0,0,0,25,0,34000,Man,FALSE,Caucasian,3,3,25,FALSE,FALSE,Bachelor's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position20,0,0,1,5,0,32000,Man,FALSE,Caucasian,4,4,38,FALSE,FALSE,Bachelor's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position6,0,0,0,2,0,30000,Man,FALSE,Caucasian,1,10,70,FALSE,FALSE,Master's Degree,8,2,3,75,10,2400000,Conway,AR,72035,United States,one,11107,Public Institution
position1,12,35,9,359,7,87741,Man,FALSE,Caucasian,7,24,47,TRUE,TRUE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position3,7,0,8,271,5,57734,Man,FALSE,Caucasian,2,15,36,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position3,2,34,1,82,2,66621,Woman,FALSE,Caucasian,10,18,41,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position9,1,0,2,140,0,47056,Man,FALSE,Caucasian,2,4,32,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position15,0,2,0,40,0,47000,Woman,FALSE,Caucasian,1,3,36,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position20,1,0,1,45,0,45536,Man,FALSE,Caucasian,1,11,37,FALSE,FALSE,Bachelor's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position24,0,0,2,1,5,39495,Woman,FALSE,Biracial,4,9,37,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position4,0,0,1,42,0,42770,Woman,FALSE,Caucasian,1,7,33,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position9,0,0,0,140,0,35884,Man,FALSE,Hispanic,1,8,27,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position11,0,0,1,5,0,35762,Woman,FALSE,Caucasian,1,4,30,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position5,0,0,0,6,0,53935,Man,FALSE,Caucasian,3,3,44,FALSE,FALSE,Bachelor's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position20,0,0,0,45,0,39107,Woman,FALSE,African American,1,4,36,FALSE,FALSE,Bachelor's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position6,0,0,2,80,0,34750,Woman,FALSE,Caucasian,1,4,23,FALSE,FALSE,Master's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position25,0,11,0,0,1,45084,Man,FALSE,Hispanic,12,12,70,FALSE,FALSE,Bachelor's Degree,13,35,9,425,2,5520802,Orlando,FL,32816-3548,United States,one,59601,Public Institution
position22,5,0,0,0,0,109000,Man,FALSE,African American,4,28,55,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position15,2,2,0,15,0,68000,Man,FALSE,African American,8,15,38,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position5,0,0,2,4,0,65000,Man,FALSE,Caucasian,3,3,48,FALSE,FALSE,Bachelor's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position13,3,0,1,2,0,62000,Woman,FALSE,Caucasian,13,20,45,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position15,0,0,1,30,0,42000,Man,FALSE,Caucasian,2,5,29,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position15,0,0,1,30,0,38000,Woman,FALSE,Caucasian,3,5,25,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position9,0,0,1,50,0,41000,Man,FALSE,Caucasian,4,4,28,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position4,0,0,0,35,0,43000,Man,FALSE,Caucasian,3,3,42,FALSE,FALSE,Bachelor's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position6,0,0,1,45,0,36000,Woman,FALSE,Caucasian,2,3,27,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position10,1,1,0,0,0,48000,Woman,FALSE,Caucasian,3,3,38,FALSE,FALSE,Master's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position19,1,1,0,2,0,45000,Woman,FALSE,Caucasian,8,8,43,FALSE,FALSE,Bachelor's Degree,11,5,7,400,10,2700000,Mount Pleasant,MI,48859,United States,one,27626,Public Institution
position1,1,1,0,58,10,61000,Man,FALSE,Caucasian,23,31,56,FALSE,FALSE,Master's Degree,2,0,0,58,1,300000,Charleston,SC,29401,United States,one,11723,Public Institution
position9,0,0,0,28,10,35000,Man,FALSE,Asian American,7,7,29,FALSE,FALSE,Bachelor's Degree,2,0,0,58,1,300000,Charleston,SC,29401,United States,one,11723,Public Institution
position6,0,0,0,30,0,21000,Man,FALSE,Caucasian,2,2,27,FALSE,FALSE,Master's Degree,2,0,0,58,1,300000,Charleston,SC,29401,United States,one,11723,Public Institution
position15,0,0,0,25,1,55000,Woman,FALSE,Caucasian,14,17,45,FALSE,FALSE,Master's Degree,2,0,0,40,1,250000,Clarion,PA,16214,United States,one,6520,Public Institution
position1,0,0,0,15,0,70000,Man,FALSE,Caucasian,18,21,48,TRUE,FALSE,Doctoral,2,0,0,40,1,250000,Clarion,PA,16214,United States,one,6520,Public Institution
position1,14,6,8,450,10,103000,Man,FALSE,Caucasian,3,15,46,TRUE,FALSE,Doctoral,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position2,6,2,4,300,10,58000,Man,FALSE,Caucasian,1,8,34,FALSE,TRUE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position22,0,0,0,15,0,40000,Woman,TRUE,Caucasian,30,30,55,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position10,0,1,0,2,0,50000,Woman,FALSE,Caucasian,10,10,50,FALSE,FALSE,Bachelor's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position10,0,0,0,0,0,32000,Woman,FALSE,Caucasian,6,6,42,FALSE,FALSE,Bachelor's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position8,0,3,2,20,0,36000,Woman,FALSE,Caucasian,2,2,25,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position26,0,0,0,0,0,28000,Woman,FALSE,Caucasian,1,1,23,FALSE,FALSE,Bachelor's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position25,0,0,0,8,0,40000,Man,FALSE,Caucasian,10,10,55,FALSE,FALSE,Bachelor's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position25,0,0,0,8,0,27000,Man,FALSE,African American,7,7,32,FALSE,FALSE,No College Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position25,0,0,0,0,0,23000,Man,FALSE,African American,1,1,20,FALSE,FALSE,No College Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position15,0,0,0,0,0,23000,Woman,FALSE,Caucasian,15,15,59,FALSE,FALSE,No College Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position20,1,1,2,80,10,45000,Man,FALSE,Caucasian,10,10,40,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position9,0,0,1,100,0,38000,Man,FALSE,Caucasian,4,4,28,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position11,0,0,1,6,0,42000,Woman,FALSE,Caucasian,7,7,34,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position15,3,2,0,200,0,45000,Man,FALSE,Caucasian,2,4,28,FALSE,TRUE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position7,0,0,1,50,10,32000,Woman,FALSE,Hispanic,1,1,24,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position15,0,0,0,80,0,32000,Man,FALSE,Caucasian,1,1,24,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position17,0,0,0,45,0,32000,Woman,FALSE,Caucasian,2,2,24,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position5,0,0,0,6,0,32000,Woman,FALSE,Caucasian,2,2,24,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position24,0,0,2,6,0,38000,Man,FALSE,Caucasian,2,2,30,FALSE,FALSE,Master's Degree,15,6,8,450,10,4000000,Clemson,SC,29634-4015,United States,one,20768,Public Institution
position1,0,0,0,16,0,33000,Woman,FALSE,Caucasian,1,0,24,FALSE,FALSE,Master's Degree,1,0,0,16,0,4500,Hartsville,SC,29550,United States,one,1163,Private Institution
position22,3,1,0,0,0,124000,Woman,FALSE,Caucasian,14,36,64,TRUE,FALSE,Doctoral,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position1,3,0,0,0,0,87200,Man,FALSE,Caucasian,8,18,48,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position18,0,0,0,0,0,40000,Woman,FALSE,Caucasian,1,36,58,TRUE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position13,4,1,0,0,0,62000,Man,FALSE,Caucasian,1,9,40,TRUE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position15,4,1,0,0,0,64000,Man,FALSE,Caucasian,1,8,35,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position21,2,0,0,12,0,44921,Woman,FALSE,Caucasian,3,8,34,TRUE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position11,1,0,0,7,0,41000,Man,FALSE,Caucasian,7,10,33,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position9,1,0,0,75,0,41500,Man,FALSE,Caucasian,1,5,29,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position6,1,0,0,59,3,44764,Woman,FALSE,Caucasian,3,8,47,FALSE,FALSE,Bachelor's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position17,1,0,0,35,0,42550,Woman,FALSE,Biracial,4,5,29,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position20,0,0,0,7,12,59214,Man,FALSE,Caucasian,12,26,63,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position6,0,0,0,17,10,35400,Woman,FALSE,Caucasian,1,1,25,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position9,0,0,0,61,0,35550,Woman,FALSE,Caucasian,2,2,25,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position20,0,0,0,25,0,35355,Man,FALSE,Caucasian,2,2,26,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position8,0,0,0,3,1,36196,Man,FALSE,Caucasian,2,2,30,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position21,0,0,0,43,0,37000,Man,FALSE,Caucasian,1,3,27,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position24,0,0,0,1,0,35372,Woman,FALSE,Caucasian,1,1,29,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position4,0,0,0,35,0,35400,Man,FALSE,Caucasian,1,1,26,FALSE,FALSE,Master's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position5,0,0,0,3,0,50425,Woman,FALSE,Biracial,1,1,28,FALSE,FALSE,Bachelor's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position14,0,0,0,2,0,68896,Man,FALSE,Caucasian,6,6,50,FALSE,FALSE,No College Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position10,0,3,0,2,0,54348,Woman,FALSE,Biracial,14,14,59,FALSE,FALSE,No College Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position22,0,0,0,4,0,34524,Man,FALSE,Caucasian,4,4,30,FALSE,FALSE,Bachelor's Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position22,0,0,0,5,0,56496,Man,FALSE,Caucasian,22,21,61,FALSE,FALSE,No College Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position22,0,5,0,0,0,56772,Woman,FALSE,Caucasian,26,26,56,FALSE,FALSE,No College Degree,20,13,0,300,50,6400000,Fort Collins,CO,80523-8027,United States,one,30659,Public Institution
position1,16,17,0,0,0,135000,Man,FALSE,Biracial,1,35,NA,FALSE,FALSE,Bachelor's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position3,5,0,0,0,0,105948,Man,FALSE,Caucasian,6,28,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position3,4,1,0,0,0,80013,Woman,FALSE,Caucasian,1,27,NA,TRUE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position3,0,6,0,0,0,72000,Man,FALSE,Caucasian,1,11,NA,FALSE,FALSE,Bachelor's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position10,0,3,0,1,0,106068,Woman,FALSE,Asian American,13,NA,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position15,0,0,0,40,0,57240,Woman,FALSE,Caucasian,13,13,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position6,0,0,0,30,0,42681,Woman,FALSE,Caucasian,8,10,NA,FALSE,FALSE,Bachelor's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position15,0,0,0,30,0,41960,Man,FALSE,Caucasian,3,NA,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
NA,0,0,0,0,0,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position7,1,0,0,6,0,64930,Woman,FALSE,Caucasian,3,21,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position6,0,0,0,30,30,40400,Woman,FALSE,Caucasian,1,27,NA,FALSE,FALSE,Bachelor's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position20,1,0,0,4,0,61488,Man,FALSE,Caucasian,2,NA,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position27,0,0,0,20,0,39648,Woman,FALSE,Caucasian,1,NA,NA,FALSE,FALSE,Bachelor's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position11,0,1,0,6,0,75563,Man,FALSE,Caucasian,27,27,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position11,0,0,0,0,0,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position9,1,0,0,90,0,58248,Man,FALSE,Caucasian,1,NA,NA,TRUE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position9,0,0,0,90,0,49643,Woman,FALSE,Caucasian,7,NA,NA,FALSE,FALSE,Bachelor's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position17,0,0,0,35,0,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position10,0,0,0,4,0,62100,Woman,FALSE,Caucasian,6,12,NA,FALSE,FALSE,No College Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position5,0,0,0,4,0,63186,Woman,FALSE,Caucasian,2,10,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position8,0,0,0,0,0,36752,Woman,FALSE,Biracial,1,NA,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position15,0,0,0,20,0,40000,Man,FALSE,Caucasian,1,NA,NA,FALSE,FALSE,Master's Degree,18,17,0,300,2,NA,Boulder,CO,80309,United States,one,31945,Public Institution
position1,14,6,0,368,55,110000,Woman,FALSE,Caucasian,18,28,62,TRUE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position3,4,1,0,0,3,68000,Woman,FALSE,Caucasian,8,26,47,TRUE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position6,0,0,0,6,0,57400,Woman,FALSE,Caucasian,18,25,56,FALSE,FALSE,Bachelor's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position6,0,0,0,185,0,46200,Woman,FALSE,Caucasian,2,4,28,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position6,0,0,0,3,1,48200,Woman,FALSE,Caucasian,3,3,26,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position6,0,0,0,24,37,50225,Woman,FALSE,Caucasian,7,7,31,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position7,5,1,0,0,5,73225,Woman,FALSE,Caucasian,14,20,54,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position7,0,0,0,1,0,52825,Woman,FALSE,Caucasian,14,15,39,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position7,0,0,0,0,7,47750,Woman,FALSE,Caucasian,2,2,31,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position7,0,0,0,0,0,50000,Woman,FALSE,Caucasian,10,10,38,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position9,0,0,0,125,0,52036,Man,FALSE,Caucasian,2,2,27,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position21,0,3,0,21,0,57000,Woman,FALSE,Caucasian,8,11,36,FALSE,FALSE,Master's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position22,0,1,0,6,2,53325,Man,FALSE,Caucasian,14,14,55,FALSE,FALSE,Bachelor's Degree,14,6,0,368,55,3353500,Ithaca,NY,14853,United States,one,21424,Private Institution
position1,7,3,0,154,0,76122,Woman,FALSE,Biracial,14,30,50,TRUE,TRUE,Doctoral,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position3,2,1,0,66,0,50262,Woman,FALSE,Hispanic,10,10,36,FALSE,FALSE,Master's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position13,3,0,0,82,0,47882,Man,FALSE,Caucasian,3,10,33,FALSE,TRUE,Master's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position9,0,0,0,50,0,36000,Man,FALSE,Caucasian,2,2,27,FALSE,FALSE,Master's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position20,0,0,0,12,0,35997,Man,FALSE,Caucasian,1,1,29,FALSE,FALSE,Master's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position6,0,0,0,20,2,35000,Woman,FALSE,Caucasian,0,0,25,FALSE,FALSE,Master's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position15,0,0,0,60,0,39975,Man,FALSE,Caucasian,6,6,52,FALSE,FALSE,Bachelor's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position25,0,1,0,6,0,43250,Man,FALSE,Hispanic,6,6,54,FALSE,FALSE,Associate's Degree,8,3,0,204,2,1773330,Corpus Christi,TX,78412-5713,United States,one,10508,Public Institution
position1,3,1,0,0,0,75000,Man,FALSE,Caucasian,6,26,57,FALSE,FALSE,Master's Degree,4,2,0,180,3,2600000,Omaha,NE,68178,United States,one,7736,Private Institution
position9,0,0,0,80,0,46000,Man,FALSE,African American,5,5,29,FALSE,TRUE,Master's Degree,4,2,0,180,3,2600000,Omaha,NE,68178,United States,one,7736,Private Institution
